Season,Episode,Title,IMDbScore,IMDbNumRaters
1,1,Pilot,8,7409
1,2,Lawnmower Dog,8.5,7475
1,3,Anatomy Park,8.3,6766
1,4,M. Night Shaym-Aliens!,8.5,6870
1,5,Meeseeks and Destroy,8.7,7775
1,6,Rick Potion #9,8.8,7612
1,7,Raising Gazorpazorp,8,6243
1,8,Rixty Minutes,8.5,7188
1,9,Something Ricked This Way Comes,8.3,6198
1,10,Close Rick-Counters of the Rick Kind,9,7964
1,11,Ricksy Business,8.3,5999
2,1,A Rickle in Time,8.5,6864
2,2,Mortynight Run,8.6,6623
2,3,Auto Erotic Assimilation,8.3,6406
2,4,Total Rickall,9.3,9605
2,5,Get Schwifty,8.1,6278
2,6,The Ricks Must Be Crazy,9,7516
2,7,Big Trouble in Little Sanchez,8.3,5767
2,8,Interdimensional Cable 2: Tempting Fate,7.5,6090
2,9,Look Who's Purging Now,8.3,6000
2,10,The Wedding Squanchers,9,7789
3,1,The Rickshank Rickdemption,9.5,12700
3,2,Rickmancing the Stone,8.1,6667
3,3,Pickle Rick,9.2,9844
3,4,Vindicators 3: The Return of Worldender,8.1,6240
3,5,The Whirly Dirly Conspiracy,8.4,5855
3,6,Rest and Ricklaxation,8.8,6284
3,7,The Ricklantis Mixup,9.8,18309
3,8,Morty's Mind Blowers,8.7,5679
3,9,The ABCs of Beth,7.9,4607
3,10,The Rickchurian Mortydate,8,4587
